date,year,quarter,month_number,month_name,day,weekday_number,weekday_name,is_weekend,year_month
2016-05-11,2016,2,5,May,11,2,Wednesday,False,2016-05
2016-05-12,2016,2,5,May,12,3,Thursday,False,2016-05
2016-05-13,2016,2,5,May,13,4,Friday,False,2016-05
2016-05-14,2016,2,5,May,14,5,Saturday,True,2016-05
2016-05-15,2016,2,5,May,15,6,Sunday,True,2016-05
2016-05-16,2016,2,5,May,16,0,Monday,False,2016-05
2016-05-17,2016,2,5,May,17,1,Tuesday,False,2016-05
2016-05-18,2016,2,5,May,18,2,Wednesday,False,2016-05
2016-05-19,2016,2,5,May,19,3,Thursday,False,2016-05
2016-05-20,2016,2,5,May,20,4,Friday,False,2016-05
2016-05-21,2016,2,5,May,21,5,Saturday,True,2016-05
2016-05-22,2016,2,5,May,22,6,Sunday,True,2016-05
2016-05-23,2016,2,5,May,23,0,Monday,False,2016-05
2016-05-24,2016,2,5,May,24,1,Tuesday,False,2016-05
2016-05-25,2016,2,5,May,25,2,Wednesday,False,2016-05
2016-05-26,2016,2,5,May,26,3,Thursday,False,2016-05
2016-05-27,2016,2,5,May,27,4,Friday,False,2016-05
2016-05-28,2016,2,5,May,28,5,Saturday,True,2016-05
2016-05-29,2016,2,5,May,29,6,Sunday,True,2016-05
2016-05-30,2016,2,5,May,30,0,Monday,False,2016-05
2016-05-31,2016,2,5,May,31,1,Tuesday,False,2016-05
2016-06-01,2016,2,6,June,1,2,Wednesday,False,2016-06
2016-06-02,2016,2,6,June,2,3,Thursday,False,2016-06
2016-06-03,2016,2,6,June,3,4,Friday,False,2016-06
2016-06-04,2016,2,6,June,4,5,Saturday,True,2016-06
2016-06-05,2016,2,6,June,5,6,Sunday,True,2016-06
2016-06-06,2016,2,6,June,6,0,Monday,False,2016-06
2016-06-07,2016,2,6,June,7,1,Tuesday,False,2016-06
2016-06-08,2016,2,6,June,8,2,Wednesday,False,2016-06
